Strike,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.356426156241228,0.380329467376328,0.376632763259740,0.366339409465994
1.85,0.347876320484815,0.360981978128840,0.320641882551228,0.441187656711727
1.9,0.349458102679376,0.365934199953389,0.343918017307500,0.353778982120418
1.95,0.353550220760757,0.364497438025263,0.360559425468324,0.357935499670783
2.0,0.321917188706521,0.380152958788273,0.365935662060952,0.377342651277120
2.05,0.347684072757555,0.402009738974034,0.372628963529406,0.378520766652834
2.1,NaN,0.496130339401048,0.394654821803192,0.421837660898620
2.15,NaN,0.567191341013794,0.394168393717331,0.407743879869594
2.2,NaN,0.660251564200774,0.407757893399374,0.427275138020442
2.25,NaN,1.62205972349568,0.431347454139089,0.455020886371949
2.3,NaN,1.73594503621795,0.463419851725864,0.496333250168715
2.35,NaN,1.84116162904514,0.498766861509248,0.528343565583884
2.4,NaN,1.16682984744880,0.524647846807321,0.564748655944483
2.45,NaN,2.03592712512288,0.533633017464903,0.613667044207742
2.5,NaN,2.05167232380029,0.575988579883388,0.661106989216999
2.55,NaN,2.13953099982593,0.658883928835612,0.707178084846008
2.6,NaN,2.22522343163627,0.657296337621248,0.729175587792274
